Med_Income,Med_Income_White,Med_Income_Black,Med_Income_Nat_Am,Med_Income_Asian,Hispanic,FIPS
70961.0,72616.0,52284.0,38409.0,74525.0,42344.0,08013
81898.0,82961.0,,,90586.0,62424.0,08014
51092.0,50909.0,,,,33750.0,08015
52554.0,52609.0,,,,36806.0,08017
67710.0,68680.0,28510.0,,,28173.0,08019
36652.0,36675.0,,,,30030.0,08021
31321.0,31286.0,,13214.0,,24292.0,08023
31151.0,31389.0,,13750.0,53194.0,16989.0,08025
35000.0,35636.0,26833.0,,,,08027
42452.0,42613.0,,33750.0,36743.0,35710.0,08029
53637.0,58585.0,33139.0,37257.0,51968.0,38740.0,08031
31875.0,32057.0,,,,36346.0,08033
102964.0,103212.0,109333.0,66442.0,103926.0,92710.0,08035
72214.0,74237.0,53015.0,54637.0,51943.0,52067.0,08037
84963.0,84336.0,105526.0,,,61451.0,08039
58206.0,61208.0,47271.0,41645.0,60311.0,43176.0,08041
40423.0,40451.0,,28478.0,,41794.0,08043
56590.0,58930.0,34639.0,,33686.0,43764.0,08045
65670.0,66210.0,,,,39643.0,08047
63628.0,64840.0,37308.0,,,33506.0,08049
48071.0,48628.0,,101563.0,,31454.0,08051
57083.0,57875.0,,,,,08053
31715.0,32833.0,,43240.0,,25049.0,08055
46014.0,46892.0,,,,38750.0,08057
70164.0,70920.0,45554.0,68851.0,71856.0,51220.0,08059
40304.0,40439.0,,,,41563.0,08061
40603.0,41563.0,,,,22462.0,08063
45367.0,49688.0,,,,41216.0,08065
60278.0,61385.0,28922.0,49663.0,57344.0,52960.0,08067
59805.0,60557.0,42036.0,36506.0,57875.0,46256.0,08069
45067.0,45376.0,45069.0,15568.0,39659.0,37436.0,08071
39005.0,39398.0,,25833.0,,31458.0,08073
42319.0,42475.0,2499.0,,,40699.0,08075
49322.0,49658.0,39271.0,32689.0,,39535.0,08077
48125.0,52000.0,,,,45568.0,08079
51387.0,51829.0,,,64231.0,32129.0,08081
43553.0,44878.0,,28451.0,,40223.0,08083
43999.0,44539.0,,,88523.0,34544.0,08085
48450.0,48826.0,41228.0,30833.0,,46194.0,08087
32311.0,35986.0,,18904.0,30565.0,24850.0,08089
61624.0,61984.0,,,,31719.0,08091
56969.0,56462.0,,,,36176.0,08093
43639.0,43417.0,,12750.0,,40109.0,08095
71196.0,71372.0,,86250.0,,35000.0,08097
40179.0,40260.0,,,,28214.0,08099
41286.0,43348.0,40104.0,34861.0,37931.0,34013.0,08101
61842.0,61118.0,,76136.0,,53750.0,08103
39672.0,38786.0,145610.0,,,35776.0,08105
64963.0,66137.0,,,,55217.0,08107
33393.0,34086.0,,25500.0,,31250.0,08109
36324.0,36379.0,,,,21250.0,08111
56047.0,55135.0,,,,48750.0,08113
44191.0,46350.0,70192.0,,41250.0,30938.0,08115
67983.0,71528.0,,33958.0,2499.0,41211.0,08117
62372.0,62444.0,128750.0,,92708.0,42656.0,08119
45541.0,45131.0,,,,34091.0,08121
60572.0,62265.0,37281.0,47670.0,70000.0,43558.0,08123
43105.0,44702.0,,,,26250.0,08125
84233.0,94786.0,46418.0,43980.0,112109.0,47911.0,09001
66395.0,73333.0,42966.0,26289.0,86310.0,34131.0,09003
72061.0,72584.0,64050.0,,73963.0,60701.0,09005
79893.0,81748.0,50864.0,68274.0,105321.0,61407.0,09007
61640.0,68413.0,38667.0,41711.0,75756.0,36393.0,09009
66233.0,70299.0,45851.0,54753.0,69488.0,35648.0,09011
79626.0,80666.0,51968.0,,90176.0,48113.0,09013
59392.0,60866.0,47056.0,55579.0,50938.0,31520.0,09015
70848.0,115890.0,40677.0,61985.0,83064.0,61087.0,11001
54976.0,58299.0,48490.0,34177.0,48917.0,41556.0,10001
65476.0,71263.0,49681.0,47074.0,94421.0,47696.0,10003
53751.0,56665.0,36482.0,37411.0,97607.0,38682.0,10005
43073.0,50142.0,26561.0,31900.0,47236.0,32105.0,12001
47121.0,51751.0,30553.0,,,100647.0,12003
47368.0,49175.0,33759.0,27721.0,42727.0,42029.0,12005
41606.0,48213.0,23355.0,,,53889.0,12007
48925.0,50714.0,33027.0,54879.0,55728.0,42464.0,12009
51968.0,56399.0,42020.0,41408.0,63451.0,51620.0,12011
34510.0,35000.0,30000.0,55139.0,61750.0,,12013
44244.0,45107.0,32725.0,16429.0,48750.0,27344.0,12015
38312.0,38237.0,35171.0,34583.0,74141.0,33650.0,12017
58290.0,59727.0,50825.0,55192.0,64081.0,58520.0,12019
57452.0,59387.0,32252.0,47364.0,60750.0,40708.0,12021
41926.0,44156.0,29569.0,34375.0,93750.0,40239.0,12023
35165.0,36579.0,22205.0,22188.0,,28697.0,12027
36292.0,36789.0,21667.0,,,,12029
47690.0,54477.0,33145.0,45795.0,68057.0,41265.0,12031
45390.0,50794.0,30842.0,56161.0,40284.0,36743.0,12033
47866.0,49324.0,35800.0,,63291.0,47200.0,12035
40401.0,40464.0,36917.0,27083.0,51917.0,51250.0,12037
35567.0,48910.0,29784.0,,32924.0,29792.0,12039
40623.0,40690.0,23750.0,23594.0,,,12041
34877.0,34834.0,22841.0,85515.0,,36563.0,12043
41788.0,44034.0,31556.0,,,29773.0,12045
35048.0,40971.0,20941.0,,,17292.0,12047
35457.0,37104.0,26900.0,,,30239.0,12049
36771.0,40931.0,22298.0,27625.0,46042.0,34684.0,12051
40945.0,41559.0,26583.0,25139.0,44187.0,41056.0,12053
35093.0,36108.0,26045.0,8839.0,89583.0,26814.0,12055
50579.0,54914.0,34587.0,50721.0,71675.0,39548.0,12057
35020.0,35287.0,28750.0,,,10300.0,12059
45798.0,47439.0,26746.0,,86410.0,35382.0,12061
35098.0,38721.0,24740.0,31528.0,,26071.0,12063
43355.0,54559.0,23821.0,,,,12065
35864.0,40250.0,31657.0,,,12071.0,12067
46403.0,47413.0,38742.0,34604.0,77563.0,42081.0,12069
48537.0,50195.0,34157.0,34750.0,47389.0,36948.0,12071
46745.0,56324.0,31270.0,27386.0,52020.0,38282.0,12073
35782.0,36778.0,30750.0,,14250.0,29163.0,12075
39406.0,42766.0,26205.0,,,38421.0,12077
32164.0,38690.0,22361.0,,,60625.0,12079
49675.0,51590.0,35425.0,53750.0,61650.0,34849.0,12081
39459.0,40756.0,30245.0,,52821.0,30966.0,12083
51593.0,53535.0,30564.0,45200.0,69009.0,37871.0,12085
43129.0,45586.0,33103.0,42237.0,61134.0,40499.0,12086
57290.0,59105.0,46275.0,,75192.0,43500.0,12087
54116.0,55071.0,33250.0,,64871.0,53914.0,12089
55880.0,58718.0,38208.0,62670.0,48704.0,46217.0,12091
35405.0,35678.0,28317.0,,51146.0,33452.0,12093
47943.0,52068.0,36066.0,32356.0,57443.0,39062.0,12095
44254.0,45851.0,39627.0,43355.0,52118.0,37150.0,12097
53363.0,56882.0,37601.0,45833.0,71473.0,42396.0,12099
45064.0,44730.0,45550.0,38239.0,70052.0,46505.0,12101
45819.0,47546.0,30695.0,43138.0,57230.0,36633.0,12103
43162.0,45438.0,31997.0,45735.0,62432.0,38347.0,12105
31715.0,34038.0,20512.0,21821.0,,28316.0,12107
66194.0,67032.0,42171.0,76563.0,116250.0,50146.0,12109
43459.0,46015.0,30826.0,38885.0,64583.0,37262.0,12111
58923.0,60549.0,46517.0,25278.0,62351.0,47892.0,12113
51766.0,52680.0,31037.0,34410.0,58659.0,43207.0,12115
57010.0,60254.0,38754.0,46875.0,70719.0,42922.0,12117
50350.0,51247.0,23750.0,53350.0,,31006.0,12119
36289.0,38041.0,23000.0,,,23333.0,12121
36181.0,38511.0,29341.0,17067.0,,41659.0,12123
39163.0,40244.0,28516.0,86071.0,,,12125
41117.0,43139.0,25982.0,31767.0,50705.0,34411.0,12127
50340.0,49726.0,55511.0,,,,12129
44966.0,46422.0,27813.0,,66528.0,43370.0,12131
38970.0,40368.0,28095.0,,,,12133
37135.0,39981.0,26130.0,,,30907.0,13001
30933.0,34130.0,24598.0,,,24009.0,13003
37162.0,42561.0,20302.0,,34706.0,42802.0,13005
44297.0,51538.0,26806.0,,,,13007
32460.0,39592.0,22906.0,,39524.0,,13009
41472.0,41609.0,34342.0,,36146.0,29375.0,13011
52012.0,53176.0,38643.0,,69886.0,41034.0,13013
48893.0,51065.0,37979.0,56190.0,56094.0,33259.0,13015
29994.0,38830.0,18397.0,,,26005.0,13017
31835.0,34538.0,26063.0,,,29643.0,13019
36519.0,52978.0,25620.0,,62300.0,27026.0,13021
38991.0,46932.0,17738.0,,,,13023
37206.0,37212.0,29861.0,,,,13025
32663.0,41641.0,19521.0,,,16801.0,13027
63327.0,64884.0,54306.0,,37857.0,60219.0,13029
36032.0,41190.0,25995.0,,48967.0,28125.0,13031
33641.0,49398.0,19626.0,,48438.0,31736.0,13033
41667.0,50384.0,30746.0,,,124485.0,13035
25513.0,40486.0,21366.0,,,,13037
52473.0,58940.0,38130.0,40250.0,87538.0,63529.0,13039
30185.0,34518.0,22307.0,,,,13043
43586.0,46792.0,32268.0,,30882.0,27139.0,13045
50876.0,50819.0,49981.0,,55652.0,46985.0,13047
42778.0,41929.0,46875.0,,,46316.0,13049
47218.0,55466.0,34807.0,,51606.0,41630.0,13051
43378.0,44877.0,36895.0,,,39677.0,13053
32913.0,33927.0,22219.0,,,38750.0,13055
68926.0,70839.0,67347.0,,61196.0,41363.0,13057
32162.0,37856.0,24395.0,,33598.0,27375.0,13059
20438.0,41359.0,14797.0,,,,13061
40938.0,38499.0,41967.0,25700.0,41626.0,34582.0,13063
24015.0,36016.0,12905.0,,,2499.0,13065
65873.0,75041.0,50341.0,34120.0,84976.0,42816.0,13067
33965.0,37395.0,23251.0,35083.0,45466.0,26505.0,13069
32409.0,38286.0,22201.0,38482.0,,31474.0,13071
71021.0,72414.0,62171.0,,87164.0,52962.0,13073
35683.0,41234.0,26307.0,38571.0,,30956.0,13075
62461.0,66660.0,40190.0,250001.0,68958.0,38823.0,13077
41825.0,44298.0,28682.0,,,,13079
31615.0,47089.0,17637.0,,,52893.0,13081
46434.0,47377.0,,,,,13083
56943.0,57078.0,,,,42721.0,13085
31284.0,38125.0,22021.0,55417.0,,50427.0,13087
51376.0,73219.0,42048.0,41875.0,53266.0,36789.0,13089
34271.0,41636.0,26994.0,,,17806.0,13091
28696.0,30847.0,22813.0,,,38223.0,13093
32084.0,50469.0,26399.0,,,34063.0,13095
53881.0,56579.0,49904.0,33500.0,64697.0,47247.0,13097
31680.0,44729.0,20277.0,,,2499.0,13099
32959.0,34337.0,,,,23459.0,13101
63100.0,67761.0,40513.0,,82661.0,62769.0,13103
35388.0,41173.0,20120.0,,,39097.0,13105
32229.0,38174.0,23941.0,,2499.0,37156.0,13107
37865.0,42868.0,31389.0,,,22131.0,13109
37049.0,37117.0,,80192.0,,33889.0,13111
79066.0,78589.0,80639.0,65714.0,78424.0,51544.0,13113
41549.0,46211.0,26090.0,,48675.0,31492.0,13115
88816.0,87872.0,74545.0,80913.0,117064.0,49496.0,13117
33816.0,35323.0,23000.0,,,26964.0,13119
57207.0,84666.0,36030.0,32048.0,93780.0,43655.0,13121
40228.0,40731.0,,148125.0,151250.0,27931.0,13123
40759.0,44875.0,19514.0,,,,13125
45918.0,55254.0,26347.0,26397.0,40769.0,47688.0,13127
41612.0,42847.0,25995.0,,52500.0,32918.0,13129
34187.0,41419.0,19654.0,,,17961.0,13131
42408.0,57795.0,22827.0,,49044.0,20473.0,13133
60289.0,69649.0,52203.0,47143.0,57135.0,38924.0,13135
40907.0,41470.0,30000.0,58750.0,44028.0,34929.0,13137
51202.0,53476.0,33260.0,,53400.0,39501.0,13139
24925.0,37994.0,22083.0,,,,13141
41910.0,42532.0,32054.0,2499.0,36429.0,,13143
63824.0,74078.0,31464.0,,95139.0,103902.0,13145
37653.0,39567.0,24020.0,,,35610.0,13147
