M_With,M_Without,F_With,F_Without,All_With,All_Without,FIPS
2812,263,2737,295,5549,558,19143
6505,822,6810,597,13315,1419,19145
4213,355,4197,240,8410,595,19147
11390,766,11769,636,23159,1402,19149
3169,326,3264,208,6433,534,19151
202694,17295,213559,13896,416253,31191,19153
40374,4897,43002,3788,83376,8685,19155
8281,576,8937,594,17218,1170,19157
2148,282,2171,273,4319,555,19159
4568,358,4657,324,9225,682,19161
74793,7742,80096,5650,154889,13392,19163
5277,539,5582,372,10859,911,19165
15807,1411,15737,1129,31544,2540,19167
45559,2642,42773,1887,88332,4529,19169
7763,735,7896,704,15659,1439,19171
2683,396,2720,312,5403,708,19173
5477,483,5890,585,11367,1068,19175
3256,524,3112,473,6368,997,19177
15390,1800,16210,1526,31600,3326,19179
21891,1175,22863,1028,44754,2203,19181
9615,1082,9902,1095,19517,2177,19183
2650,385,2814,433,5464,818,19185
15924,1780,16616,1216,32540,2996,19187
4821,308,5032,234,9853,542,19189
9724,563,9833,484,19557,1047,19191
43575,6383,47044,4576,90619,10959,19193
3395,305,3519,243,6914,548,19195
5785,580,5903,489,11688,1069,19197
179687,24140,186069,21581,365756,45721,16001
1685,338,1408,417,3093,755,16003
35907,5326,35846,5215,71753,10541,16005
2602,372,2618,308,5220,680,16007
3578,964,3616,844,7194,1808,16009
19203,3329,19504,3105,38707,6434,16011
8753,2073,9000,1457,17753,3530,16013
3004,611,2874,368,5878,979,16015
16871,3473,17198,3180,34069,6653,16017
45074,7432,47260,6823,92334,14255,16019
4380,1173,3939,1397,8319,2570,16021
1191,221,978,226,2169,447,16023
421,117,386,128,807,245,16025
79546,18096,82935,16843,162481,34939,16027
3102,281,3077,258,6179,539,16029
9384,2297,9055,2252,18439,4549,16031
231,209,329,132,560,341,16033
3224,522,3185,591,6409,1113,16035
1931,206,1642,423,3573,629,16037
9973,1643,10638,1656,20611,3299,16039
5577,947,5343,1001,10920,1948,16041
5200,902,5250,990,10450,1892,16043
6654,1658,6630,1648,13284,3306,16045
5885,1938,5746,1581,11631,3519,16047
6967,1125,6473,1223,13440,2348,16049
11265,2219,11699,1550,22964,3769,16051
8327,3044,8345,2816,16672,5860,16053
59838,11075,61963,10877,121801,21952,16055
17900,1704,16876,1693,34776,3397,16057
3298,602,3193,606,6491,1208,16059
1484,347,1502,425,2986,772,16061
1942,723,1969,587,3911,1310,16063
16867,2083,17065,1700,33932,3783,16065
7661,2570,7775,2174,15436,4744,16067
16662,2619,17470,2343,34132,4962,16069
1951,229,1800,232,3751,461,16071
